bc_num,coll_code,HW,HL,SL,EL,FL,ML,PL,PPL,GL,CI,EI,SI,FLI,WL,TL,caste,species,country,comment
Weber4_TYPE,WEBER_TYPE,1.436,1.155,1.183,0.264,0.901,2.056,0.479,0.31,1.267,124.329,22.8571,82.3816,62.7437,0.789,5.267,worker,zeteki,Panama,[Type] [Barro Colo. I C.Z. 3441 NAWeber] [Trachymyrmex zeteki Weber] [ANTWEB CASENT 0912534]
WEBER1_PARA,WEBER_1,1.55,1.216,1.231,0.274,0.912,2.127,0.456,0.319,1.368,127.4671,22.5329,79.4194,58.8387,0.775,5.486,worker,zeteki,Panama,[Barro Colo. I. Canal Zone No856 NAWeber 1938 waling at 9pm. Snyder-Molino 0-4.] [762 17USNM]?
WEBER2_PARA,WEBER_2,1.55,1.216,1.276,0.274,0.912,2.188,0.425,0.304,1.246,127.4671,22.5329,82.3226,58.8387,0.729,5.379,worker,zeteki,Panama,TOP of 2 specimen on pin[Barro Colo. I. Canal Zone No. 759 NA Weber 1938] [T. balboai Weber Cotypes]
WEBER2.1_PARA,WEBER_2.1,1.52,1.246,1.246,0.274,0.912,2.127,0.456,0.304,1.307,121.9904,21.9904,81.9737,60,0.76,5.44,worker,zeteki,Panama,BOTTOM of 2 specimen on pin[Barro Colo. I. Canal Zone No. 759 NA Weber 1938] [T. balboai Weber Cotypes]
Weber3_PARA,WEBER_3,1.459,1.185,1.155,0.213,0.881,1.915,0.486,0.304,1.246,123.1224,17.9747,79.1638,60.3838,0.79,5.136,worker,zeteki,Panama,"[Barro Colorado. CANAL ZONE No. 756 N.A.Weber 1938] [Trachymyrmex zeteki Weber COTYPE] [borrowed from Harvard, M C Z Feb. 1992.]"
MCZ-ENT00025619_PARA,WEBER_MCZ,1.436,1.126,1.155,0.253,0.845,1.943,0.479,0.31,1.239,127.5311,22.4689,80.4318,58.844,0.789,5.097,worker,zeteki,Panama,[Barro Colo. I. Canal Zone No.756 NAWeber 1938] [M.C.Z. CoType 25619] [T. Zeteki Weber Cotypes] [Harbor Islands Insect Database] [MCZ-ENT 00025619]
USNMENT01123711,RMMA100629-15,1.596,1.33,1.36,0.27,1.02,2.166,0.532,0.342,1.52,120,20.3008,85.213,63.9098,0.874,5.89,worker,zeteki,Panama,640512_LECTO
USNMENT01123712,RMMA100629-15,1.8,1.52,1.31,0.396,1.12,2.541,0.74,0.42,2.002,118.4211,26.0526,72.7778,62.2222,1.16,7.223,gyne,zeteki,Panama,640513_PARALECT
USNMENT01123713,RMMA100629-15,1.083,0.836,1.007,0.378,0.369,2.014,0.54,0.306,1.862,129.5455,45.2153,92.9825,34.072,0.846,5.558,male,zeteki,Panama,640522_PARALECT
USNMENT01123714,RMMA100629-15,1.558,1.311,1.273,0.266,0.95,2.128,0.513,0.323,1.349,118.8406,20.2899,81.7073,60.9756,0.836,5.624,worker,zeteki,Panama,640515_PARALECT
USNMENT01123715,RMMA100629-15,1.444,1.235,1.197,0.266,0.931,1.938,0.418,0.342,1.311,116.9231,21.5385,82.8947,64.4737,0.76,5.244,worker,zeteki,Panama,640516_PARALECT
USNMENT01123716,RMMA100629-15,1.482,1.216,1.159,0.266,0.855,1.9,0.456,0.285,1.254,121.875,21.875,78.2051,57.6923,0.741,5.111,worker,zeteki,Panama,640517_PARALECT
USNMENT01123717,RMMA100629-15,1.748,1.482,1.254,0.399,1.121,2.584,0.722,0.418,2.09,117.9487,26.9231,71.7391,64.1304,1.14,7.296,gyne,zeteki,Panama,640518_PARALECT
USNMENT01123718,RMMA100629-15,1.71,1.463,1.216,0.399,1.102,2.508,0.684,0.399,1.938,116.8831,27.2727,71.1111,64.4444,1.083,6.992,gyne,zeteki,Panama,640519_PARALECT
USNMENT01123719,RMMA100629-15,1.71,1.425,1.235,0.399,1.102,2.508,0.665,0.418,1.938,120,28,72.2222,64.4444,1.083,6.954,gyne,zeteki,Panama,640520_PARALECT
USNMENT01123720,RMMA100629-15,1.102,0.874,1.045,0.387,0.369,2.166,0.456,0.342,1.881,126.087,44.2792,94.8276,33.4846,0.798,5.719,male,zeteki,Panama,640521_PARALECT
USNMENT01123721,RMMA100629-15,1.14,0.801,1.1,0.378,0.36,2.079,0.5,0.28,2.242,142.3221,47.191,96.4912,31.5789,0.78,5.902,male,zeteki,Panama,640514_PARALECT
USNMENT01123722,RMMA100629-15,1.083,0.855,1.026,0.399,0.36,2.014,0.532,0.323,1.9,126.6667,46.6667,94.7368,33.241,0.855,5.624,male,zeteki,Panama,640523_PARALECT
USNMENT01123723,CRC170513-04_TYPE,1.178,1.064,1.121,0.209,0.702,1.786,0.418,0.285,1.197,110.7143,19.6429,95.1613,59.5925,0.703,4.75,worker,mikromelanos,Panama,640509_TYPE
USNMENT01123724,CRC170513-04_PARA,1.311,1.159,1.064,0.27,0.817,1.976,0.627,0.361,1.691,113.1148,23.2959,81.1594,62.3188,0.988,5.814,gyne,mikromelanos,Panama,640510_PARA
USNMENT01123725,CRC170513-04_PARA,0.837,0.666,0.81,0.297,0.288,1.729,0.399,0.266,1.52,125.6757,44.5946,96.7742,34.4086,0.665,4.58,male,mikromelanos,Panama,640511_PARA
USNMENT01123726,CRC170513-04_PARA,1.159,1.026,1.064,0.209,0.703,1.729,0.418,0.288,1.064,112.963,20.3704,91.8033,60.6557,0.706,4.525,worker,mikromelanos,Panama,640524_PARA
USNMENT01123727,CRC170513-04_PARA,1.178,1.121,1.102,0.228,0.741,1.767,0.475,0.285,1.159,105.0847,20.339,93.5484,62.9032,0.76,4.807,worker,mikromelanos,Panama,640525_PARA
USNMENT01123728,CRC170513-04_PARA,1.14,1.102,1.121,0.228,0.76,1.843,0.45,0.285,1.197,103.4483,20.6897,98.3333,66.6667,0.735,4.877,worker,mikromelanos,Panama,640526_PARA
